@relation "jfreechart"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.lang.RuntimeException,java.lang.IllegalStateException,java.lang.NullPointerException,org.jfree.data.UnknownKeyException,org.jfree.data.general.SeriesException,org.jfree.data.time.TimePeriodFormatException}

@data
333,"IfStatement","null",true,"max x ","double java.lang.Double boolean ","","isNaN isInfinite ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
334,"IfStatement","null",true,"min y ","double java.lang.Double boolean ","","isNaN isInfinite ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
335,"IfStatement","null",true,"max y ","double java.lang.Double boolean ","","isNaN isInfinite ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
336,"IfStatement","null",false,"data ","org.jfree.data.KeyedValue ","NULL ","","","",java.lang.RuntimeException
337,"IfStatement","null",true,"row keys ","java.lang.Comparable boolean org.jfree.chart.util.ArrayUtils ","","hasDuplicateItems ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
338,"IfStatement","null",true,"column keys ","java.lang.Comparable boolean org.jfree.chart.util.ArrayUtils ","","hasDuplicateItems ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
339,"IfStatement","null",true,"length row keys data ","int double java.lang.Comparable ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
340,"IfStatement","null",true,"column keys length column count ","int java.lang.Comparable ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
341,"IfStatement","null",true,"end start ","double ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
342,"IfStatement","null",true,"samples ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
343,"IfStatement","null",true,"connection ","java.sql.Connection ","NULL ","","","",java.lang.NullPointerException
344,"IfStatement","null",true,"con ","java.sql.Connection ","NULL ","","","",java.lang.NullPointerException
345,"CatchClause","java.io.IOException",true,"data ","java.io.StringWriter org.jfree.data.KeyedValues void ","","writeKeyedValues ","","",java.lang.RuntimeException
346,"CatchClause","java.io.IOException",true,"data ","java.io.StringWriter org.jfree.data.KeyedValues2D void ","","writeKeyedValues2D ","","",java.lang.RuntimeException
347,"IfStatement","null",true,"existing bin bin ","org.jfree.data.statistics.SimpleHistogramBin boolean ","","overlapsWith ","","",java.lang.RuntimeException
348,"IfStatement","null",false,"placed ","boolean ","","","","",java.lang.RuntimeException
349,"IfStatement","null",true,"length data ","java.lang.Number int ","","","","",java.lang.IllegalArgumentException
350,"IfStatement","null",true,"y data length x data ","java.lang.Number int ","","","","",java.lang.IllegalArgumentException
351,"IfStatement","null",true,"y data length x data ","java.lang.Number int ","","","","",java.lang.IllegalArgumentException
352,"IfStatement","null",true,"data1 length data2 ","java.lang.Number int ","","","","",java.lang.IllegalArgumentException
353,"IfStatement","null",true,"y data length x data ","java.lang.Number int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
354,"IfStatement","null",true,"length x data period ","int java.lang.Number ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
355,"IfStatement","null",false,"","int ","","","","",java.lang.IllegalArgumentException
356,"IfStatement","null",false,"","int ","","","","",java.lang.IllegalArgumentException
357,"IfStatement","null",false,"","int ","","","","",java.lang.IllegalArgumentException
358,"IfStatement","null",false,"","int ","","","","",java.lang.IllegalArgumentException
359,"IfStatement","null",true,"order item count ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
360,"IfStatement","null",true,"order valid items ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
361,"IfStatement","null",true,"bins ","int ","","","","",java.lang.IllegalArgumentException
362,"IfStatement","null",true,"values length ","double int ","NULL ","","","",java.lang.IllegalArgumentException
363,"IfStatement","null",true,"values length ","double int ","NULL ","","","",java.lang.IllegalArgumentException
364,"IfStatement","null",false,"scale_area_to_1 type ","org.jfree.data.statistics.HistogramType ","","","","",java.lang.IllegalStateException
365,"IfStatement","null",true,"farout coefficient ","double ","","getOutlierCoefficient ","","",java.lang.IllegalArgumentException
366,"IfStatement","null",true,"start boundary end boundary ","double ","","","","",java.lang.IllegalArgumentException
367,"IfStatement","null",true,"upper bound lower bound ","double ","","","","",java.lang.IllegalArgumentException
368,"IfStatement","null",true,"period count ","int ","","","","",java.lang.IllegalArgumentException
369,"IfStatement","null",true,"period count ","int ","","","","",java.lang.IllegalArgumentException
370,"IfStatement","null",true,"point count ","int ","","","","",java.lang.IllegalArgumentException
371,"IfStatement","null",true,"min_value period ","double java.lang.Double ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
372,"IfStatement","null",true,"skip ","double ","0.0 ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
373,"IfStatement","null",true,"maximum ","int ","","","","",java.lang.IllegalArgumentException
374,"IfStatement","null",true,"periods ","long ","","","","",java.lang.IllegalArgumentException
375,"IfStatement","null",false,"time period class ","java.lang.Class boolean ","","equals ","","org.jfree.data.general.SeriesException ",org.jfree.data.general.SeriesException
376,"IfStatement","null",false,"index ","int ","","","","org.jfree.data.general.SeriesException ",org.jfree.data.general.SeriesException
377,"IfStatement","null",false,"index ","int ","","","","",org.jfree.data.general.SeriesException
378,"IfStatement","null",false,"period class time period class ","java.lang.Class boolean ","","equals ","","",org.jfree.data.general.SeriesException
379,"CatchClause","java.lang.NoSuchMethodException",true,"latest index newest time period class ","org.jfree.data.time.RegularTimePeriod java.lang.Class java.lang.reflect.Method long java.util.Locale java.util.TimeZone java.lang.Object java.util.Date ","createInstance ","getDefault invoke getSerialIndex getDeclaredMethod ","","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
380,"CatchClause","java.lang.IllegalAccessException",true,"latest index newest time period class ","org.jfree.data.time.RegularTimePeriod java.lang.Class java.lang.reflect.Method long java.util.Locale java.util.TimeZone java.lang.Object java.util.Date ","createInstance ","getDefault invoke getSerialIndex getDeclaredMethod ","","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
381,"CatchClause","java.lang.reflect.InvocationTargetException",true,"latest index newest time period class ","org.jfree.data.time.RegularTimePeriod java.lang.Class java.lang.reflect.Method long java.util.Locale java.util.TimeZone java.lang.Object java.util.Date ","createInstance ","getDefault invoke getSerialIndex getDeclaredMethod ","","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
382,"IfStatement","null",true,"end start ","int ","","","","",java.lang.IllegalArgumentException
383,"IfStatement","null",true,"start ","int ","","","CloneNotSupportedException ","java.lang.IllegalArgumentException java.lang.RuntimeException ",java.lang.IllegalArgumentException
384,"IfStatement","null",true,"end start ","int ","","","CloneNotSupportedException ","java.lang.IllegalArgumentException java.lang.RuntimeException ",java.lang.IllegalArgumentException
385,"CatchClause","org.jfree.data.general.SeriesException",false,"clone copy ","org.jfree.data.time.TimeSeriesDataItem org.jfree.data.time.TimeSeries void ","","add ","CloneNotSupportedException ","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.RuntimeException
386,"IfStatement","null",true,"end start ","org.jfree.data.time.RegularTimePeriod int ","","compareTo ","CloneNotSupportedException ","",java.lang.IllegalArgumentException
387,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
388,"IfStatement","null",false,"x position end ","org.jfree.data.time.TimePeriodAnchor ","","","","",java.lang.IllegalStateException
389,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
390,"IfStatement","null",false,"","org.jfree.data.general.Series int java.lang.Comparable ","","getSeriesIndex getKey ","PropertyVetoException ","java.beans.PropertyVetoException ",java.lang.IllegalStateException
391,"IfStatement","null",true,"minimum_year year maximum_year ","int org.jfree.data.time.Year ","","","","",java.lang.IllegalArgumentException
392,"CatchClause","java.lang.NumberFormatException",true,"","java.lang.String int java.lang.Integer ","","trim parseInt ","","org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
393,"CatchClause","java.lang.IllegalArgumentException",false,"","int org.jfree.data.time.Year ","","","","org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
394,"IfStatement","null",true,"week first_week_in_year last_week_in_year ","int ","","","","",java.lang.IllegalArgumentException
395,"IfStatement","null",true,"week first_week_in_year last_week_in_year ","int ","","","","",java.lang.IllegalArgumentException
396,"IfStatement","null",false,"","int ","","","","org.jfree.data.time.TimePeriodFormatException org.jfree.data.time.TimePeriodFormatException org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
397,"IfStatement","null",false,"","int ","","","","org.jfree.data.time.TimePeriodFormatException org.jfree.data.time.TimePeriodFormatException org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
398,"IfStatement","null",false,"","org.jfree.data.time.Year ","NULL ","","","org.jfree.data.time.TimePeriodFormatException org.jfree.data.time.TimePeriodFormatException org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
399,"IfStatement","null",false,"","int ","","","","org.jfree.data.time.TimePeriodFormatException org.jfree.data.time.TimePeriodFormatException org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
400,"IfStatement","null",true,"values ","float ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
401,"IfStatement","null",true,"series number value history length ","int org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
402,"IfStatement","null",true,"series number value history length ","int org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence ","","","","",java.lang.IllegalArgumentException
403,"IfStatement","null",false,"value history length n data points ","int org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence ","","","","",java.lang.IllegalArgumentException
404,"IfStatement","null",false,"value history length n data points ","int org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence ","","","","",java.lang.IllegalArgumentException
405,"IfStatement","null",true,"month ","int ","","","","",java.lang.IllegalArgumentException
406,"IfStatement","null",true,"month ","int ","","","","",java.lang.IllegalArgumentException
407,"IfStatement","null",false,"month ","int ","","","","org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
408,"IfStatement","null",false,"year ","org.jfree.data.time.Year ","NULL ","","","org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
409,"IfStatement","null",true,"anchor end ","org.jfree.data.time.TimePeriodAnchor boolean ","","equals ","","",java.lang.IllegalStateException
410,"IfStatement","null",true,"quarter first_quarter last_quarter ","int ","","","","",java.lang.IllegalArgumentException
411,"IfStatement","null",true,"quarter first_quarter last_quarter ","int ","","","","",java.lang.IllegalArgumentException
412,"IfStatement","null",false,"","int ","","","","org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
413,"IfStatement","null",true,"","int java.lang.String ","","length ","","org.jfree.data.time.TimePeriodFormatException ",org.jfree.data.time.TimePeriodFormatException
414,"IfStatement","null",true,"end start ","long ","","","","",java.lang.IllegalArgumentException
415,"CatchClause","java.lang.CloneNotSupportedException",false,"clone ","java.lang.Object ","","","","",java.lang.RuntimeException
416,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
417,"IfStatement","null",true,"item0 period ","org.jfree.data.time.RegularTimePeriod org.jfree.data.time.ohlc.OHLCItem java.lang.Class boolean ","","getClass equals getPeriod ","","",java.lang.IllegalArgumentException
418,"IfStatement","null",true,"series ","org.jfree.data.xy.XYSeries boolean ","","getAllowDuplicateXValues ","","",java.lang.IllegalArgumentException
419,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
420,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
421,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
422,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
423,"IfStatement","null",true,"series ","org.jfree.data.xy.XYSeries int java.lang.Comparable ","","getSeriesIndex getKey ","","",java.lang.IllegalArgumentException
424,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
425,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
426,"MethodDeclaration","null",true,"series key ","java.lang.Comparable org.jfree.data.xy.XYSeries boolean ","","getKey equals ","","",org.jfree.data.UnknownKeyException
427,"IfStatement","null",true,"width ","double ","0.0 ","","","",java.lang.IllegalArgumentException
428,"IfStatement","null",false,"","org.jfree.data.general.Series int java.lang.Comparable ","","getSeriesIndex getKey ","PropertyVetoException ","java.beans.PropertyVetoException ",java.lang.IllegalStateException
429,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
430,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
431,"IfStatement","null",true,"series key ","java.lang.Comparable ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
432,"IfStatement","null",true,"data ","double ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
433,"IfStatement","null",true,"length data ","int double ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
434,"IfStatement","null",true,"length data ","int double ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
435,"IfStatement","null",true,"series index ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
436,"IfStatement","null",true,"series index ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
437,"IfStatement","null",false,"allow duplicate x values ","boolean ","","","","org.jfree.data.general.SeriesException ",org.jfree.data.general.SeriesException
438,"IfStatement","null",false,"index ","int ","","","","org.jfree.data.general.SeriesException ",org.jfree.data.general.SeriesException
439,"IfStatement","null",false,"index ","int ","","","","",org.jfree.data.general.SeriesException
440,"CatchClause","org.jfree.data.general.SeriesException",false,"clone copy ","org.jfree.data.xy.XYSeries org.jfree.data.xy.XYDataItem void ","","add ","CloneNotSupportedException ","",java.lang.RuntimeException
441,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
442,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
443,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
444,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
445,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
446,"IfStatement","null",true,"obj ","java.lang.Object org.jfree.data.xy.XYCoordinate ","","","","",java.lang.IllegalArgumentException
447,"IfStatement","null",true,"","double ","1.0 0.0 ","","","",java.lang.IllegalArgumentException
448,"IfStatement","null",true,"","double ","0.0 ","","","",java.lang.IllegalArgumentException
449,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
450,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
451,"IfStatement","null",true,"series key ","java.lang.Comparable ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
452,"IfStatement","null",true,"data ","double ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
453,"IfStatement","null",true,"length data ","int double ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
454,"IfStatement","null",true,"length data ","int double ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
455,"IfStatement","null",true,"series keys length data ","int java.util.List java.lang.Object ","","size ","","",java.lang.IllegalArgumentException
456,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
457,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
458,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
459,"IfStatement","null",true,"series ","int ","","getSeriesCount ","","",java.lang.IllegalArgumentException
460,"IfStatement","null",true,"series key ","java.lang.Comparable ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
461,"IfStatement","null",true,"data ","double ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
462,"IfStatement","null",true,"length data ","int double ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
463,"IfStatement","null",true,"length data ","int double ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
